reg_no,chassis_no,engine_no,fuel_type,maker_class,maker_model,reg_date,reg_auth,aadhaar
HL02SY2191,UICILT23KW5P1Y4U5,371XIN20EMPP01985,elec,Audi,Q7,5/10/2008,MW45,884198000000
DD77EC8657,GVARKGZTRXLPI3TK4,647ZIM40IGYN42994,petrol,Audi,4000s,23/04/2001,XR60,892468000000
OW06LL9825,2V5Q78WZ8VGDZ7K0Y,786UXC07PYDU10231,elec,Audi,A6,5/10/2007,LN23,940664000000
XD71YE1691,B2JK1QLURX41F6XE5,785BIL96ERIT26641,petrol,Audi,200,8/11/1998,JJ73,970978000000
DA30ZR7405,MMPDUTPBD4OZRU986,585XXB18JNMR10020,diesel,Audi,A8,12/9/2016,MS16,993316000000
EZ03JD5666,EEJEVC0FFULEHEBSA,315JZV25CJZC96493,cng,Austin,Mini Cooper S,19/04/2019,RH57,106044000000
HA67CI8219,T1OOEGXABJNEAHOB3,195UVI00QUBZ36690,diesel,Bentley,Continental Flying Spur,18/09/2009,RW11,357465000000
TW08FB9089,SHWFEYRFUQCJQWIVS,770AEE58VBPN36569,petrol,Bentley,Azure T,18/11/2011,EO54,558949000000
OU84ZM2688,6Q81MHKP7YEPZMGU4,781NLF43LAUX62520,petrol,Bentley,Mulsanne,11/6/1955,KN38,702142000000
ED07RK1124,8QUWZEW46OA8H1ZBO,141TDQ04XQJX05898,diesel,Bentley,Arnage,26/12/1966,RS31,896633000000
WS73UU0580,Q2D0K10U9ZFDNCUJI,468TKA57BMGV04415,petrol,Bentley,Continental GTC,28/12/1974,QA99,931631000000
KC97KO7329,Q3N4WR3BXEJX7GSJF,502PNU99KQAP46182,cng,BMW,M3,10/3/1971,GN57,176336000000
WY56SR4379,11EEFECJ8OPBP0HBZ,779UBM64QEHG45582,elec,BMW,530,15/03/1945,LF40,248401000000
PG35FK3577,D2W22MFHN74Y14FKH,445RRZ81DWBH25016,petrol,BMW,7 Series,28/05/1962,HY23,542274000000
IH07II0295,4P0HAYXBBV6K8BHUY,755QXM17JNGZ12390,diesel,BMW,530,21/01/1982,DP31,574443000000
TG65LW5006,P9YMIRE3KAUIG5GE3,766HPI02MMKH88231,diesel,BMW,745,26/10/1970,HC26,623813000000
FV75FI5168,RBDKHDO5YUZ3QJBK9,340UKD02HHBQ97982,elec,BMW,3 Series,4/4/1968,DI97,646568000000
TF23FT4680,01WG26JTT7QMI1Z1E,237XTF98LLLD63042,cng,BMW,M3,13/07/1967,MF36,696714000000
XR18MB9584,KRYQSOLRMY46PDX2N,495LIQ19SNCV92722,petrol,BMW,X6,28/10/2006,ZE87,697468000000
GE80SC4105,XJWP4KFYOQ15TEH1M,018PHD93MMMM37357,cng,BMW,Z3,20/12/1955,JZ58,700703000000
NO04IS8906,YMIO9PAVWMQEGHVPT,969VXP38OOWS26061,petrol,BMW,3 Series,14/10/2002,HP43,703081000000
JI58VJ8046,QC6K84910JWF261HB,054CQB47VUBA22975,elec,BMW,Z4,26/11/2006,IL52,734110000000
JO81DB4775,UJG12KZ7QBLJ40UBX,358GKS27AZSF12270,elec,BMW,545,17/02/1962,WP67,746002000000
XR10GC7648,N0VHDE52WK3QF14FV,021UHG90WNDL92569,petrol,BMW,M5,4/7/1963,BX73,788283000000
EX35YM3245,FYPRYDGENKHRJ91KX,180LAU53PNBT66370,petrol,BMW,7 Series,21/10/1969,GJ27,828289000000
XH76WN9700,JXW9RKV5H7NV3VODH,067DMO91YLTK71467,cng,BMW,530,9/4/1981,HX17,871716000000
QC22PM7389,LECO970K37KZWJKO8,870PDW11IPEY09888,petrol,BMW,X3,23/02/2016,YV72,916573000000
TA43II9245,3C0LPLZ94HM200UKO,677SEU31MIYC18422,petrol,BMW,Z4,6/3/1942,LD02,922377000000
TP17VP9349,UNS0B21KOJS3R5KF8,452FVH33ARUD41201,diesel,BMW,Z4,23/11/2014,SH65,925906000000
VI05LP9011,6MKGVKVV2O9RVDGRZ,919USC13MTII05421,elec,BMW,8 Series,11/1/1951,LC72,963987000000
CV25EM9588,X3KNYWKZ04VB3IJ5X,390FKI13ETZE17062,elec,BMW,7 Series,23/04/2002,PJ67,990170000000
DB16ZY2657,7SMBFYDNFXL826NAH,715FNI59LFOY08970,elec,Buick,Regal,12/8/1988,ET32,116044000000
UN12FU0953,YLWDEP8P4IEK2ZBS1,685YPZ40TBDZ01553,elec,Buick,LeSabre,9/7/2015,OX76,141099000000
MB67PD3799,D4R8WX4K3XP2EUB9X,717BGM26POBM05389,cng,Buick,Somerset,14/02/1987,OI65,197956000000
NU48LI6436,BQOKXZV8U4PZL5T8J,364OYD98PLGN73486,diesel,Buick,Estate,14/05/1994,RH84,255762000000
MT41KJ5516,J3CH485H559PV34OF,451IVY23KKFM04581,petrol,Buick,Terraza,25/07/1942,PU61,260813000000
JR29JB0796,95H3HAAN1XYLHJ8BZ,549XUY59QIIR69515,diesel,Buick,Park Avenue,6/11/1970,LF72,362744000000
HT28PL6947,DHMAV4YSCDTIS5NEC,916HGK84MVXY45637,cng,Buick,Century,23/09/1972,II69,378630000000
OP35MX5981,K67S9ZUGBD1QW95VF,485XTK96JDTI57961,cng,Buick,Skylark,6/5/1983,JP85,402413000000
BY38IN0227,AG0USP5191BK0510F,745QTI48HCEE36822,petrol,Buick,Riviera,12/4/1999,SU85,405260000000
YS39GF7263,GQIYNR3Y9PUBQV922,749NHW49EKMY32410,diesel,Buick,Terraza,29/04/1999,KL68,426481000000
PC10OA8830,5M9LBR6S9DWD91BRJ,601DEA71QNDY48763,elec,Buick,Reatta,30/05/1958,QJ49,445807000000
DV81TE3929,L5U44X8ZT4G9WYXHA,725AEP82DNLN49928,elec,Buick,Riviera,26/01/2000,RB29,446025000000
JO03JP1067,TW21CQ8VCIP35KB1K,736ZTQ61FHUR93587,elec,Buick,Estate,21/09/1964,DQ49,512468000000
HP18GB1947,KA6NEY04IMC5QVN60,006RLD60UDIB02920,elec,Buick,Enclave,1/11/1993,XX99,515049000000
PT97LN3793,LLCB6IVGI4XAIJV34,046BDM52GXRI04159,diesel,Buick,Coachbuilder,17/07/1987,KY24,522374000000
HZ76KF2146,X22DAJ1DEO5OUQ7IB,354PXX58PHZP17683,cng,Buick,Regal,5/1/1981,PX14,567673000000
NM31YW5904,2ZS7K6VJTIOZBNGY4,120NSJ83MCXC61931,petrol,Buick,LeSabre,6/11/1984,OW71,596564000000
FR70HO5391,E8839DWEIT34TJJOQ,068RIX58XAFE47872,elec,Buick,Regal,20/03/1958,RN03,629377000000
OM30BM6164,UG93D4N8QQRFILDO0,603JGW48FLIU99288,petrol,Buick,Regal,16/10/1996,MG31,630968000000
CM87GR5932,4STP4P1CB4JXOVJ78,625KFX99BCMF69220,diesel,Buick,Century,2/12/1960,HZ17,636158000000
YO46SI3778,UM8O0PE8ACW0886V3,580HSZ62DRUV56130,diesel,Buick,Century,10/8/2001,UZ88,644250000000
XE67EF4010,GZVWFE9EW6OAE56YT,687LIW31PLNN12120,cng,Buick,Lucerne,31/10/1944,LF82,697387000000
ZC57CG4336,SHLYNXPBUGR3SGYZP,158AAT71LKGF80608,diesel,Buick,Century,10/10/1949,CN53,701618000000
FD15JT0497,AA6V9SR0IQHUCPC1V,460KBH62GTNP59043,petrol,Buick,Century,30/08/2007,DW60,712788000000
FT95ZI4951,02HY9TD7D3RYM7OZ4,299TFI78SJJE48950,cng,Buick,Regal,12/12/1977,CF02,740218000000
KU75LO6509,7SF9BA2QMWMSE8MNN,006QAG04FIWA92492,elec,Buick,Rendezvous,18/02/1971,TW64,743501000000
GV04HE9367,P6O0N2L28I4Q544SY,484BBW18CGWS91299,elec,Buick,Century,8/6/2002,SB04,744423000000
XH79AP8883,E1CQTLCJCFFHDKMJT,645PKP42LWLC97964,diesel,Buick,Riviera,30/12/1977,LT70,749455000000
TT20MX2049,Y1A3ZN2FDHYER7VON,097CAL94XBHT21404,elec,Buick,Enclave,6/9/2001,ND97,760508000000
YB98JF4700,3WPIAI1TY4FO20GE3,319YIH36ZEOQ28718,cng,Buick,Park Avenue,20/09/1943,UI12,778306000000
MZ56YS3397,W93WTU8XO9D6GMPMM,658HER43LAXD15807,petrol,Buick,Skyhawk,16/04/2010,GZ99,814819000000
HD17XX7067,C1VOZDZ0Z2P9QN31M,478IAI66RLTY70361,diesel,Buick,Terraza,21/05/1968,OK34,818736000000
LN21GD7309,RG4N4X1V0JICIQEW8,526SLB17FJKX82744,petrol,Buick,Rainier,21/05/2001,FU68,839370000000
TD63TO5691,V7JXUL3MOINXRBHN7,011DIQ35VEUT33854,diesel,Buick,Roadmaster,30/03/1991,AY80,885693000000
LL99EJ6150,O2ZB4Y6HHN3CFEK6O,552QUJ06LLMG56805,diesel,Buick,Riviera,26/12/1973,VU99,888181000000
BF40QP8009,I0GD7KZTV3KBB2EPM,683DMK77PSAC38185,elec,Buick,Park Avenue,26/07/1962,UF47,889891000000
CU86IK1982,TVSWFCGR6W3B0C3VQ,550WKP37BSOZ48095,elec,Buick,Regal,16/09/1992,UO61,896997000000
YC96JM0609,X0TC56SC4I71OT1JQ,995LJB40WDUN80293,petrol,Buick,Skyhawk,24/09/1943,EG64,898606000000
PX83XR6141,GM3INKQ5NA1WPOZMM,912SOU90DZPJ22921,diesel,Cadillac,SRX,24/04/2005,YN80,102676000000
LD79OJ4670,A3BJI6QP6Z6F0MQU0,855TJP06OYVA79478,elec,Cadillac,Escalade,25/04/2018,LD67,272467000000
VN44UR5495,QRASZAK48BO9QS7ZI,693ECL84SVGY50221,diesel,Cadillac,Eldorado,10/7/2007,SS03,323499000000
BN54CW8302,NG29V509R9SSCAMSQ,558TKG44SEPN04033,cng,Cadillac,STS-V,14/04/2011,YS07,338195000000
EF66CJ8702,1NQ2Y1SKQ0WPBFCGE,666KHJ42TRFN05953,elec,Cadillac,Eldorado,13/08/1979,FL56,348184000000
CP69JH5161,VH6UCFTIFLOXZCE4E,082ODH31DFOF05044,diesel,Cadillac,DeVille,23/04/1996,QC62,433294000000
WY36XV9560,E9PTNHDT62IIKJGJE,679RUP95VJNF51053,petrol,Cadillac,Escalade EXT,14/09/1978,IN71,453812000000
MK79WH1782,LXMF2DL08IOEOA81P,647MNZ38DYGF44584,cng,Cadillac,Fleetwood,11/12/2014,DA68,470439000000
BZ06QW0127,O4JK462FJTVOI2I1N,305JCT93INJZ29722,elec,Cadillac,STS,13/09/2005,CD35,546681000000
MP32MH1632,IQJ7E4IYCYFNW5NDK,618LFS95KJSU90614,diesel,Cadillac,Escalade ESV,12/9/1965,NL00,605529000000
MT35VW9914,EXJ953EKSNW6EAHSD,255IEQ60YDWO93062,petrol,Cadillac,Escalade EXT,24/04/1940,WK09,723745000000
TT52QN3627,7D3G1I36GX714D5HJ,109HFO46XJCG83562,diesel,Cadillac,DeVille,16/11/1968,HX09,750951000000
IA75OL0633,TXTGKDVKVK5NZEY3E,158MKD44PRLQ48312,diesel,Cadillac,Catera,11/6/1961,TX53,757620000000
XR90YU0831,991K5HXKJDPLTTCX7,812KKR33UTEC23948,petrol,Cadillac,DeVille,24/09/1943,OC41,817928000000
LN97FW6878,P7ICMOQG0Z2JFWCWZ,727WCV86TCIB94712,cng,Cadillac,Escalade EXT,23/06/2002,YM27,818950000000
UV71PN6375,ZZ6WUH3G2KUC8BIJE,301BPG95LAGX60810,diesel,Cadillac,Escalade EXT,16/08/1999,SD30,850716000000
ZX22KA2380,KA70IE0FL6LLI4XZR,923EWR74IWPC43882,diesel,Cadillac,Escalade,17/08/1979,II23,866453000000
YM92DI9385,OI44U2L2WWRUWZZFL,834VGX80TGXG49714,petrol,Cadillac,Escalade ESV,15/12/1994,FD94,883622000000
FP63XX0067,ETDU0W9BE7BT2PARJ,429EOP51FSDM75938,cng,Cadillac,Fleetwood,5/4/1961,DL08,961427000000
NT65YV8781,GFHUNT8ES4WBCNEAY,815ITL45CGTW25878,elec,Chevrolet,Blazer,15/12/1978,ZE53,100680000000
MF60OO5712,ZI9CWNMJASH108JKT,611IYK02TXIG49972,petrol,Chevrolet,Metro,24/03/2000,SS19,114217000000
EB15CJ1556,XDF6XMMQXC34WJ9MQ,968IGB43SJLF25212,elec,Chevrolet,1500,10/4/1986,UM09,133534000000
AV01RC5960,6Q1HXH2EHC64890PJ,070SUM06GTOV14898,cng,Chevrolet,Suburban 1500,6/12/1966,KG36,146625000000
SC64UR6725,2NZYD7TKZD34NUJHN,689UZS43DVXS82203,petrol,Chevrolet,Silverado 1500,21/08/1994,XJ43,160260000000
AT99EW2006,J7WXDRR5COC9VTH54,930PII08LUUL49157,cng,Chevrolet,Sportvan G30,1/10/2007,IW02,168626000000
WV02GX8864,WDG7B5UBUIK4KXZDV,800CXG15VKTC81503,elec,Chevrolet,Lumina APV,30/03/2016,RB08,200862000000
XJ22ZD3940,RIN0TAREA2YYYWNAB,498IJI86JTVD10612,elec,Chevrolet,Avalanche 2500,31/03/2014,WH36,216754000000
OD24RJ6228,OCLVUU0F0YXYR0CPD,367ZPU75RFKP25937,petrol,Chevrolet,Aveo,3/11/2006,VK09,237344000000
QW77EH7686,GXINIJLLCVQPUBJA5,320TRN17HXAQ29592,diesel,Chevrolet,Equinox,28/04/1978,CQ37,242825000000
WQ12OM6368,FVNI3OE17S86CKNFZ,759CQO44VDBT06854,elec,Chevrolet,S10,20/05/1955,MU64,267849000000
KS15NA5770,GVL1CXN7Y0QF6AHNS,140BUA08NLYK29969,petrol,Chevrolet,Impala SS,10/1/1967,PF78,274078000000
FL46AG3699,HDOB2N2XCOTFA1EJ3,255XOM98AKXP70974,diesel,Chevrolet,Tahoe,28/05/1962,GR24,281430000000
UR86ZC1819,K3VGE4KF3FI420ZST,404UXB96AORN02431,cng,Chevrolet,Express 2500,5/1/2019,GT96,302469000000
JU29MU0826,MM30DFWUPY7VLDCDH,254OBB41AHBJ67750,cng,Chevrolet,Silverado 1500,28/08/1950,HG84,305802000000
LP18FL0637,T6W431APIYN68ADOI,237LHI63TNBE08938,diesel,Chevrolet,Silverado 2500,1/4/1955,GR95,312863000000
SE82EZ2427,0FENO98I8ESGSS2F9,717ZUU96ZLSK18460,petrol,Chevrolet,Sportvan G10,5/8/2008,PW58,322524000000
KN70FX9129,RW2AGMJXBHVY9Q3TY,394CUU98ORCP96732,elec,Chevrolet,Blazer,30/12/2014,RV12,323861000000
RA06TL8456,LKU7DD2XYBIV93MZM,561SRZ90NGSO58472,diesel,Chevrolet,Express 1500,9/7/2014,SZ38,340032000000
IM78IN4577,0F6XGZSEZG2CSJ5DD,672TAH34KDAE48456,petrol,Chevrolet,Blazer,28/10/1951,SG87,343608000000
HQ42DW7198,IRDQ2A68J96I9TRTH,713XKQ22PLQI37635,elec,Chevrolet,Camaro,1/1/1940,PK63,349099000000
ND57PN2007,PTPLJ20B3WX7PLK7S,431GLB03PXWO10667,diesel,Chevrolet,Cobalt,16/05/1973,VK56,351879000000
TQ56FZ7209,JUG49CROXJAUVOA76,317UOZ68BSBJ43303,cng,Chevrolet,S10,22/04/1970,NQ77,355728000000
CG52YS5736,2WQ39POQICXFRVSY1,536PUF38LTIC24083,cng,Chevrolet,Aveo,13/04/1967,KP78,367395000000
IJ06GP7016,5WPFDOCLTJTA7X3YS,610VEK28MHRZ40287,petrol,Chevrolet,Blazer,10/6/1975,SX40,371295000000
FY72KO8246,LNVRUQBVGKDDVEB14,164NOC26OWSQ09915,diesel,Chevrolet,Corvette,6/8/1956,HM72,378132000000
LW02OI1376,SMS93W6T15G5KD63E,943ZXJ96IMIS84599,cng,Chevrolet,Cobalt SS,16/08/2018,JH90,393653000000
AO23IT0708,WC33GZ97PQVFAYPKY,277SOA91WQZF75414,elec,Chevrolet,Suburban 1500,4/11/1966,QT92,413416000000
RI14QG6879,K3H3AT8UFFSCTOKC3,985SEM81GBPP10780,diesel,Chevrolet,Avalanche 1500,30/10/1948,AQ32,424745000000
HG84WT6567,4IGNPWJUUFX0BNO02,398MKD79JJIK96124,cng,Chevrolet,Suburban 2500,29/04/1949,QH46,490293000000
IO99SO6565,XNBRI0KN1YRSJWB3Q,545YKQ61LGXN67743,petrol,Chevrolet,Express 1500,20/02/1980,FO66,497987000000
FW17VS9285,D8Y51PV7CN6MO9LYD,172TDY20FRNS89631,diesel,Chevrolet,Lumina,18/09/1993,GD30,518612000000
VC21QV7571,1BAEPPTKN1DNLUSIQ,018ZSS90ICLD01155,diesel,Chevrolet,Corvette,25/05/1962,QM05,519627000000
HR19SP1850,LW2VVGCCEH6USJ180,097QHG95NYIL06573,elec,Chevrolet,Prizm,19/11/1990,AE57,522504000000
VT53WK5560,MMYQEN6CTNKLXDA71,944MJD65KTHI60310,petrol,Chevrolet,Malibu,18/05/1944,SR63,529106000000
GI23PS1740,ROCNGD8PUAEXAIGQM,017UAL38EXYL24357,petrol,Chevrolet,Lumina,13/09/1959,NE42,531686000000
BA39KD8324,Z21MO3ETZ3U7RL84G,509HQP40GBIZ37620,elec,Chevrolet,Cobalt SS,19/04/1999,LQ50,535860000000
CK80QV8571,F5GUFZKXHJTH7CXMA,009CQE93JLCL00316,elec,Chevrolet,TrailBlazer,19/12/1961,OK64,536430000000
OY94PE7918,0XBAM54DVMLSTR7UL,871BUC91TCRK75297,diesel,Chevrolet,Silverado 1500,30/07/1951,DF93,538406000000
MX19YB3054,D13CVVT1T67Q23LKR,546ZTK45OEFN11947,elec,Chevrolet,Venture,1/1/1993,YB76,572896000000
IN36UR5059,I09PSW5AFWKYTOTVV,119WRT93HKFV89014,diesel,Chevrolet,Silverado 2500,11/3/1998,IQ98,590213000000
NP42YO6884,DYUV2PVZZZSF5I3LF,801VUQ74ICWT50213,cng,Chevrolet,Astro,27/05/1989,PB64,602532000000
GD23OX2131,0U951ZN866I1VX6D1,642SYF15KSHW68321,elec,Chevrolet,Colorado,19/02/1990,PM02,639620000000
KS27ZM4415,OVLH2NPJK2N4IIAL5,904EPQ57UHSQ73543,petrol,Chevrolet,Avalanche,31/03/1967,TA96,648985000000
QE39CY7417,DT9LSVH2QLMPL03BB,323EOW93CURX02943,cng,Chevrolet,Aveo,5/3/1984,AA45,667059000000
YJ19HB7621,5D5I598LJA6PAEDK8,208ASQ24NFED02392,petrol,Chevrolet,Camaro,13/08/1961,RA19,677583000000
QH04YO4521,M98G0SRZ820MIJO1Y,077EKD85KVUS76089,diesel,Chevrolet,Impala,16/05/1940,WB53,707424000000
HF35JL7579,7896BJ6HNI9HYHVQ9,501KZO40SSXD55962,petrol,Chevrolet,Metro,5/3/1944,ZH06,707750000000
DZ80NF9475,12ZCMXKUDLB4EA6FA,987TCT11BXIR78156,petrol,Chevrolet,Express 1500,21/11/1949,XK29,728872000000
KF96HA0977,P762HN7G1M7DS2XID,823VSP10LIPH10711,elec,Chevrolet,SSR,12/10/2011,IA44,734708000000
TH32TX2626,C4ZLX72BLKBG1EJYA,325ZWO68TXKH20377,diesel,Chevrolet,G-Series G10,11/8/1945,UB97,742090000000
PM35OY9359,OJYA3IBVAFE8C81U0,734DFW65NCGL09303,cng,Chevrolet,Corsica,29/04/1951,GA81,764168000000
MU33QO8063,FL20LXCARKOJ5Z6EU,669HRO27MRKD60979,petrol,Chevrolet,G-Series 2500,30/01/1981,VM33,773409000000
OE81DN3976,1Z6069LZJ2J35D903,472YEC62KBCM95095,cng,Chevrolet,Tahoe,1/6/1945,ZV80,775973000000
CV23FM5033,UO6KPTFI8ETB9DLNZ,969OCB50LYAT30366,petrol,Chevrolet,Express 3500,6/2/1947,WJ22,780933000000
WD52FG1817,NQU07E087KFNORXL9,102MMM37FSNS48151,diesel,Chevrolet,Express 3500,7/2/1973,NB28,804719000000
PK65JW8657,JAKNUUT77A6UKB1MW,193XJY08XRZW16384,elec,Chevrolet,Camaro,14/11/1987,DO42,809991000000
CY58QB8667,Y5OZSBBBGPOMCO5XB,858MEX08IGPS73282,elec,Chevrolet,2500,29/05/2012,MQ40,818881000000
BE95LC0209,JVXPZ28SFRURRE75P,065JMW88BNLX59968,petrol,Chevrolet,G-Series G10,21/07/1971,LF36,882796000000
MZ20VJ8632,KJYUGQ3QJ6IP4CJPL,986YMI47YWEK15337,cng,Chevrolet,Camaro,28/07/1995,UJ67,883278000000
KE32YL9822,6IFUPGCMB8J23O7QU,146NYH24PFVT14218,diesel,Chevrolet,Suburban 2500,15/03/1955,EO91,888285000000
RM72FS1958,Z534LCB35R6EIXCKK,882UWL77EGIQ08617,elec,Chevrolet,G-Series G30,26/11/2016,IW89,889314000000
IE23NM7477,HMYZ7QDQLEQ53DC2K,319HMI65ISNV06207,cng,Chevrolet,Corvette,13/10/1943,GQ31,890337000000
NN30NZ3672,DD3EZ8XA6W4R0TEAS,278SYU76FFZI93785,cng,Chevrolet,Corvette,26/02/1981,QI66,900146000000
XZ47KJ2930,IF3JQ10AZGUAO7FYV,623FUQ18WTIA01744,diesel,Chevrolet,Lumina,15/07/1974,RV65,910001000000
GS06PC6214,OQEQ8WTZQK65VC92X,647GOW58MGYY37898,petrol,Chevrolet,Express 2500,16/02/1968,MT40,914195000000
DR12WF3624,Z9VJBS1EE3T8QMFAK,154CJK70VESN40190,petrol,Chevrolet,TrailBlazer,12/1/2009,EM46,921634000000
GU86MN4258,U5VRPDTU9UP386X7D,309CZC34AZKT28296,petrol,Chevrolet,G-Series G20,20/01/1943,MN74,939602000000
DK54YT7340,8S2OGYVWGK9NG1WBJ,004LAY86FOFE65396,elec,Chevrolet,Camaro,10/7/2011,RI81,950674000000
GT95LJ8671,UISDF2GZ5ZS18EVT4,428FST60VAWS36861,petrol,Chevrolet,Cruze,18/09/2008,IA72,974338000000
